airport_name,airport_city,airport_country
"North Judithbury International Airport","East Jill",Philippines
"New Roberttown International Airport","East Jessetown",Monaco
"Lake Debra International Airport",Robinsonshire,Fiji
"Port Lindachester International Airport",Joshuaborough,Serbia
"Curtisfurt International Airport","West Melanieview","Sri Lanka"
"Lake Stephenville International Airport",Millerport,Switzerland
"Barbaraland International Airport","Lake Jeremyport",Belgium
"Port Craig International Airport",Shawnstad,"Central African Republic"
"Michaelview International Airport","New Cynthiaside","Saint Lucia"
"East Steven International Airport",Veronicaside,Cyprus
"Meganton International Airport","Port Antonio",Germany
"Adamsborough International Airport",Jasonfort,Indonesia
"Thomasberg International Airport","Lake Anna",Estonia
"Hurstfurt International Airport",Jeffreyberg,Malawi
"Daviston International Airport","East Courtneychester",Nepal
"South Patrickmouth International Airport",Tashatown,"Pitcairn Islands"
"Lake Nicoleview International Airport",Danielchester,"Cayman Islands"
"Smithview International Airport","New Rita","Trinidad and Tobago"
"Meaganhaven International Airport","East Nathaniel","Central African Republic"
"New Mariotown International Airport","West Natashaport","Dominican Republic"
"East Natalieland International Airport","Lake Toddland",Senegal
"East Donna International Airport","West Allison","New Caledonia"
"Brandtside International Airport","Lake Larry",Paraguay
"Samuelhaven International Airport",Martinezbury,Bahrain
"Andrewside International Airport","New Jeffrey",Barbados
"East Carloston International Airport",Chadbury,Fiji
"Lewisberg International Airport",Sanchezfort,"Sri Lanka"
"Leeville International Airport",Gomezchester,"Lao People's Democratic Republic"
"Lake Deniseville International Airport","South Jessicaville",Egypt
"East Amanda International Airport","South Isaiah","Kyrgyz Republic"
"Port Sandra International Airport",Mortonside,Bolivia
"Lake Yvettetown International Airport","Port Melindaburgh",Ireland
"Olsonfurt International Airport","East Nicholasfurt",Estonia
"Mitchellside International Airport",Mooreport,Cuba
"New Jillton International Airport",Brianshire,Lesotho
"North Susan International Airport","Port Jacobland",Peru
"South David International Airport","New Brooke",Niger
"South Dianeshire International Airport",Sarahborough,Paraguay
"Johnfurt International Airport","Lake Debbie",Kuwait
"Sarahland International Airport","South Christineshire",Bolivia
