seat_no,seat_number_count
26F,18
14E,16
26C,16
8A,16
16E,15
21E,15
23D,15
14F,15
23E,15
13C,14
12D,14
28F,14
24E,14
13D,14
1F,14
1D,14
28D,13
20C,13
2F,13
5A,13
26D,13
25B,13
30A,13
17D,13
21C,13
23F,13
19A,13
6E,13
1C,13
17C,13
21A,13
4C,13
4A,12
29E,12
12E,12
17A,12
24C,12
14D,12
16C,12
16F,12
8C,12
23A,12
2E,12
28A,12
16D,12
5F,12
18E,12
12A,12
24B,12
24F,12
25D,12
12B,11
3E,11
13B,11
10B,11
29A,11
20F,11
5D,11
8B,11
13A,11
11D,11
7E,11
4F,11
30D,11
18F,11
11F,11
29F,10
6A,10
15E,10
1B,10
23B,10
24A,10
15A,10
11E,10
8F,10
8D,10
18D,10
25A,10
4B,10
20D,10
9A,10
22F,10
11C,10
14A,10
24D,10
21F,10
10C,10
7B,10
18A,10
15F,10
27D,9
9F,9
12C,9
22D,9
11B,9
19F,9
15C,9
6F,9
3C,9
19C,9
19E,9
22A,9
20E,9
18C,9
13E,9
6C,9
13F,9
7F,9
30B,9
27F,9
20A,9
15D,8
25E,8
26B,8
17E,8
3A,8
4D,8
3F,8
5B,8
9B,8
29C,8
1A,8
27B,8
17F,8
8E,8
10A,8
11A,8
20B,8
23C,8
29B,8
21B,8
22C,8
16B,8
10F,8
18B,7
14C,7
9E,7
19D,7
3D,7
21D,7
25F,7
26A,7
6D,7
30E,7
12F,7
30F,7
15B,7
5C,7
10D,6
16A,6
7A,6
22E,6
10E,6
28B,6
2B,6
17B,6
7D,6
1E,6
3B,6
27E,6
9D,6
9C,6
4E,6
27C,5
2D,5
6B,5
2A,5
14B,5
28E,5
27A,5
2C,5
19B,5
25C,5
28C,5
26E,4
5E,4
22B,4
7C,4
29D,3
30C,3
