airline,delayed_flights,total_flights,delay_percent,delay_rank
"Lewis, Baker and Mahoney",1,1,100.00,1
"Warner, Carr and Archer",1,1,100.00,1
"Walters LLC",1,1,100.00,1
"Hernandez, Anderson and Parker",1,1,100.00,1
"Nolan and Sons",1,1,100.00,1
"Henson, Russell and Oliver",1,1,100.00,1
"Hancock and Sons",1,1,100.00,1
"Velasquez Group",1,1,100.00,1
"Keller Group",1,1,100.00,1
Lin-Rasmussen,1,1,100.00,1
May-Ross,1,1,100.00,1
Graham-Joyce,1,1,100.00,1
"Rush LLC",1,1,100.00,1
Alvarado-Martinez,1,1,100.00,1
"Dixon Ltd",1,1,100.00,1
"Cardenas and Sons",1,1,100.00,1
Walker-Gonzalez,1,1,100.00,1
"Sanchez Group",1,1,100.00,1
"Osborne and Sons",1,1,100.00,1
"Mcclain, Simmons and Meadows",1,1,100.00,1
"Washington, Allen and Gonzales",1,1,100.00,1
Robinson-Graham,1,1,100.00,1
Rogers-Shelton,1,1,100.00,1
"Martin, Mcdonald and Anderson",1,1,100.00,1
"Day and Sons",1,1,100.00,1
Ramirez-Bean,1,1,100.00,1
"Williams, Crane and Walker",1,1,100.00,1
Jackson-Lawson,1,1,100.00,1
"Wilson, Weiss and Oconnell",1,1,100.00,1
"Johnson, Collins and Byrd",1,1,100.00,1
David-Gonzalez,1,1,100.00,1
"Snow, Stevens and Hernandez",1,1,100.00,1
Keith-Sanchez,1,1,100.00,1
"Freeman LLC",1,1,100.00,1
Peters-Black,1,1,100.00,1
"Allen Group",1,1,100.00,1
"Chang, Vaughn and Brewer",1,1,100.00,1
Kennedy-Schmidt,1,1,100.00,1
"Pierce, Bell and Chavez",1,1,100.00,1
"Newton Ltd",1,1,100.00,1
Smith-Ferguson,1,1,100.00,1
"Andrews Group",1,1,100.00,1
Peterson-Sheppard,1,1,100.00,1
"Mcknight Inc",1,1,100.00,1
"Ortiz Ltd",1,1,100.00,1
"Bradshaw Ltd",1,1,100.00,1
"Hernandez, Baker and Thomas",1,1,100.00,1
"Morse, Gonzales and Harrison",1,1,100.00,1
"George Group",1,1,100.00,1
Munoz-Johnson,1,1,100.00,1
"Huff, Johnston and Sampson",1,1,100.00,1
Stone-Ramos,1,1,100.00,1
Cervantes-Pierce,1,1,100.00,1
"Edwards LLC",1,1,100.00,1
"Booth, Murray and Brown",1,1,100.00,1
"Harris PLC",1,1,100.00,1
"Mckinney LLC",1,1,100.00,1
"Tran Inc",1,1,100.00,1
"Jimenez Ltd",1,1,100.00,1
"Allen, Reyes and Chase",1,1,100.00,1
"Flores Group",1,1,100.00,1
Hughes-Alvarado,1,1,100.00,1
"Rivera, Garcia and Kirk",1,1,100.00,1
"James, Stewart and Higgins",1,1,100.00,1
Brennan-Johnson,1,1,100.00,1
"Welch LLC",1,1,100.00,1
"Davis, Good and Hodges",1,1,100.00,1
"Miller Group",1,1,100.00,1
"King, Scott and Smith",1,1,100.00,1
"Wood and Sons",0,1,0.00,70
"Smith, Montoya and Evans",0,1,0.00,70
"Mcmillan and Sons",0,1,0.00,70
"Preston Ltd",0,1,0.00,70
"Nelson PLC",0,1,0.00,70
"Cooper, Watts and Farrell",0,1,0.00,70
King-Odonnell,0,1,0.00,70
"Cook and Sons",0,1,0.00,70
Martin-Ramos,0,1,0.00,70
Hoffman-Rodriguez,0,1,0.00,70
"Gardner LLC",0,1,0.00,70
"Estrada LLC",0,1,0.00,70
"White LLC",0,1,0.00,70
Pham-Shields,0,1,0.00,70
"Adams Ltd",0,1,0.00,70
Brennan-Garrison,0,1,0.00,70
Hoover-Savage,0,1,0.00,70
Crosby-Wilson,0,1,0.00,70
"Carpenter LLC",0,1,0.00,70
"Carlson LLC",0,1,0.00,70
Lam-Lee,0,1,0.00,70
"Graham, Meyer and Drake",0,1,0.00,70
"Bentley, Mclaughlin and Gonzalez",0,1,0.00,70
"Parker, Ortiz and Powell",0,1,0.00,70
"Martinez, Fisher and Bentley",0,1,0.00,70
"Orr, Gilbert and Turner",0,1,0.00,70
"Torres and Sons",0,1,0.00,70
"Lawson, Morris and Ramos",0,1,0.00,70
"Miller, Robertson and Schultz",0,1,0.00,70
"Gibson Ltd",0,1,0.00,70
"Higgins Group",0,1,0.00,70
Sanchez-Douglas,0,1,0.00,70
"Holmes, Williams and Wright",0,1,0.00,70
Anderson-Marshall,0,1,0.00,70
"Larson, Dodson and Vance",0,1,0.00,70
"Manning Group",0,1,0.00,70
Walton-Larsen,0,1,0.00,70
Young-Rogers,0,1,0.00,70
"Taylor and Sons",0,1,0.00,70
"Hernandez, Lewis and Perry",0,1,0.00,70
"Owens, Brown and Wall",0,1,0.00,70
"Shah, Smith and Gilmore",0,1,0.00,70
Woods-Bender,0,1,0.00,70
Castaneda-Ashley,0,1,0.00,70
"Adkins, Payne and Morrison",0,1,0.00,70
"Johnson, Long and Elliott",0,1,0.00,70
"Williams Group",0,1,0.00,70
"Gibson LLC",0,1,0.00,70
Conley-Ruiz,0,1,0.00,70
"Williams, Johnson and Wright",0,1,0.00,70
"Hernandez, Martinez and Caldwell",0,1,0.00,70
"Marshall LLC",0,1,0.00,70
"Rivas, Sanchez and Terry",0,1,0.00,70
"Burke, Martinez and Riggs",0,1,0.00,70
"Reed Group",0,1,0.00,70
Jones-Holland,0,1,0.00,70
Short-Garcia,0,1,0.00,70
"Boyd, Santos and Gilbert",0,1,0.00,70
Marshall-Petersen,0,1,0.00,70
Morris-Sanchez,0,1,0.00,70
"Bishop, Gray and Johnson",0,1,0.00,70
Peterson-Beard,0,1,0.00,70
Mcguire-Davis,0,1,0.00,70
Holt-Torres,0,1,0.00,70
Hall-Griffith,0,1,0.00,70
"Robinson Group",0,1,0.00,70
"Lawrence, Wolf and Carlson",0,1,0.00,70
"Phillips LLC",0,1,0.00,70
"Mccann PLC",0,1,0.00,70
"Raymond, Little and Mullins",0,1,0.00,70
Wilson-Jones,0,1,0.00,70
"Ray Ltd",0,1,0.00,70
"Hernandez PLC",0,1,0.00,70
Obrien-Gibbs,0,1,0.00,70
"James, Kerr and Evans",0,1,0.00,70
Torres-Oliver,0,1,0.00,70
"Garcia, Farmer and Garrett",0,1,0.00,70
"Miller, Allen and Arnold",0,1,0.00,70
Carter-Hall,0,1,0.00,70
Warner-Gibson,0,1,0.00,70
"Lara, Gonzalez and Wilson",0,1,0.00,70
"Sparks PLC",0,1,0.00,70
"Powell, Nelson and Fernandez",0,1,0.00,70
"Underwood, Johnston and Hines",0,1,0.00,70
"Shea Group",0,1,0.00,70
Costa-Harrison,0,1,0.00,70
Morris-Garcia,0,1,0.00,70
Jenkins-Simpson,0,1,0.00,70
Hancock-Bryan,0,1,0.00,70
Dean-Jimenez,0,1,0.00,70
Kim-Wolfe,0,1,0.00,70
"Dudley PLC",0,1,0.00,70
"Murray Inc",0,1,0.00,70
"Thornton, Perry and Olson",0,1,0.00,70
"Bryant and Sons",0,1,0.00,70
"Weeks PLC",0,1,0.00,70
"Shields LLC",0,1,0.00,70
Morgan-French,0,1,0.00,70
"Campbell LLC",0,1,0.00,70
"Duarte, Burns and Hernandez",0,1,0.00,70
Reed-Arnold,0,1,0.00,70
Gibson-Morris,0,1,0.00,70
"Pollard, Simpson and Johnson",0,1,0.00,70
"Lozano, Smith and Thomas",0,1,0.00,70
"Jones LLC",0,1,0.00,70
"Schwartz, Santos and Christian",0,1,0.00,70
"Wallace Ltd",0,1,0.00,70
"Williams Inc",0,1,0.00,70
Brooks-Thomas,0,1,0.00,70
Knight-Sparks,0,1,0.00,70
"Allen, Durham and Thomas",0,1,0.00,70
