origin_id,destination_id,total_revenue,revenue_rank
8,38,19482.00,1
15,33,16440.00,2
20,28,14586.00,3
38,32,14210.00,4
9,31,13817.00,5
24,5,13754.00,6
40,15,13706.00,7
11,21,13310.00,8
13,22,13118.00,9
15,32,12670.00,10
33,9,12560.00,11
30,18,12506.00,12
34,23,12100.00,13
8,5,12082.00,14
24,30,12075.00,15
26,37,11780.00,16
31,16,11680.00,17
3,1,11529.00,18
29,16,11445.00,19
20,15,10919.00,20
3,6,10351.00,21
4,17,10252.00,22
13,28,10049.00,23
21,8,9979.00,24
25,22,9909.00,25
19,34,9870.00,26
3,39,9340.00,27
32,8,8762.00,28
4,11,8580.00,29
35,11,8577.00,30
7,29,8450.00,31
35,14,8436.00,32
19,29,8414.00,33
21,32,8360.00,34
37,19,8312.00,35
16,38,8181.00,36
6,29,8099.00,37
4,8,7931.00,38
31,7,7830.00,39
7,12,7800.00,40
9,19,7553.00,41
6,28,7400.00,42
18,37,7343.00,43
27,17,7320.00,44
18,22,6920.00,45
31,8,6916.00,46
10,28,6877.00,47
34,29,6864.00,48
21,4,6720.00,49
32,19,6710.00,50
22,14,6594.00,51
17,14,6496.00,52
26,18,6399.00,53
36,7,6336.00,54
3,32,6324.00,55
15,25,6160.00,56
2,38,6120.00,57
32,29,6012.00,58
11,17,5951.00,59
22,2,5929.00,60
2,13,5886.00,61
29,11,5832.00,62
25,28,5724.00,63
6,10,5664.00,64
16,9,5656.00,65
11,18,5632.00,66
28,17,5544.00,67
12,19,5470.00,68
14,31,5434.00,69
11,30,5395.00,70
40,35,5391.00,71
5,1,5379.00,72
35,13,5379.00,72
39,3,5364.00,74
15,1,5360.00,75
13,15,5352.00,76
13,26,5310.00,77
39,28,5139.00,78
2,7,5139.00,78
31,11,5138.00,80
32,2,5100.00,81
9,7,5008.00,82
14,5,4956.00,83
40,37,4907.00,84
37,25,4732.00,85
17,31,4708.00,86
5,20,4704.00,87
4,24,4635.00,88
31,34,4624.00,89
5,3,4560.00,90
32,7,4508.00,91
27,4,4480.00,92
31,5,4460.00,93
11,31,4446.00,94
4,12,4440.00,95
15,18,4290.00,96
39,33,4290.00,96
35,25,4265.00,98
15,8,4242.00,99
17,36,4064.00,100
29,34,3948.00,101
7,30,3912.00,102
36,10,3792.00,103
26,9,3768.00,104
16,35,3664.00,105
16,13,3592.00,106
20,35,3570.00,107
31,32,3570.00,107
38,37,3563.00,109
13,18,3550.00,110
16,31,3525.00,111
12,6,3500.00,112
15,20,3216.00,113
22,18,3160.00,114
16,33,3122.00,115
35,30,3006.00,116
17,39,2964.00,117
1,8,2844.00,118
34,40,2840.00,119
22,27,2780.00,120
30,17,2688.00,121
5,23,2676.00,122
7,15,2650.00,123
40,32,2600.00,124
16,7,2551.00,125
7,10,2550.00,126
27,33,2511.00,127
2,19,2464.00,128
10,17,2435.00,129
16,19,2432.00,130
10,29,2410.00,131
10,33,2392.00,132
2,17,2368.00,133
21,31,2346.00,134
9,33,2316.00,135
16,11,2151.00,136
16,21,2133.00,137
18,35,2115.00,138
14,24,2048.00,139
27,21,2044.00,140
22,37,2034.00,141
19,20,1988.00,142
21,28,1855.00,143
27,30,1740.00,144
19,14,1737.00,145
32,17,1728.00,146
40,22,1644.00,147
33,26,1550.00,148
8,12,1548.00,149
35,4,1530.00,150
20,25,1314.00,151
8,36,1312.00,152
5,36,1312.00,152
11,32,1240.00,154
19,23,1230.00,155
11,36,1194.00,156
24,39,1180.00,157
8,18,1050.00,158
16,25,920.00,159
30,4,868.00,160
12,5,826.00,161
34,33,803.00,162
13,25,770.00,163
33,18,650.00,164
32,10,590.00,165
32,14,500.00,166
1,38,500.00,166
38,28,450.00,168
17,3,444.00,169
5,4,400.00,170
16,8,300.00,171
32,6,250.00,172
