payment_id,amount,method
1,703.00,"Debit Card"
2,265.00,"Credit Card"
3,937.00,NetBanking
4,536.00,NetBanking
5,925.00,NetBanking
6,423.00,NetBanking
8,50.00,"Credit Card"
9,391.00,UPI
10,316.00,"Credit Card"
11,316.00,NetBanking
13,402.00,UPI
14,773.00,NetBanking
15,870.00,UPI
16,1039.00,UPI
17,576.00,"Credit Card"
18,763.00,"Credit Card"
19,1326.00,"Credit Card"
21,937.00,"Debit Card"
23,1079.00,NetBanking
24,1256.00,"Debit Card"
25,284.00,"Credit Card"
27,705.00,UPI
28,1256.00,NetBanking
29,1267.00,NetBanking
30,676.00,"Debit Card"
31,1281.00,UPI
32,446.00,"Credit Card"
33,278.00,"Debit Card"
34,73.00,UPI
37,773.00,"Credit Card"
38,144.00,NetBanking
39,304.00,UPI
40,58.00,"Credit Card"
41,601.00,NetBanking
42,320.00,"Credit Card"
43,50.00,"Credit Card"
44,386.00,"Debit Card"
45,773.00,UPI
46,572.00,NetBanking
47,415.00,"Debit Card"
48,610.00,UPI
49,760.00,"Debit Card"
50,418.00,UPI
51,822.00,NetBanking
52,50.00,"Debit Card"
53,480.00,UPI
54,50.00,"Debit Card"
55,547.00,"Debit Card"
56,224.00,"Debit Card"
57,445.00,"Debit Card"
58,1210.00,UPI
59,309.00,"Debit Card"
60,941.00,"Credit Card"
61,494.00,"Credit Card"
62,494.00,"Credit Card"
63,1326.00,"Debit Card"
64,572.00,UPI
65,50.00,"Credit Card"
66,224.00,UPI
67,458.00,UPI
68,700.00,"Debit Card"
69,367.00,"Debit Card"
70,520.00,"Debit Card"
71,241.00,UPI
73,721.00,NetBanking
74,975.00,UPI
75,415.00,"Debit Card"
76,937.00,"Debit Card"
77,599.00,UPI
78,296.00,"Credit Card"
79,174.00,"Debit Card"
80,863.00,NetBanking
81,367.00,"Credit Card"
83,428.00,"Credit Card"
86,705.00,NetBanking
87,531.00,"Credit Card"
88,446.00,NetBanking
89,1210.00,NetBanking
90,429.00,NetBanking
91,570.00,"Debit Card"
92,494.00,"Debit Card"
93,155.00,NetBanking
94,248.00,"Credit Card"
95,707.00,"Credit Card"
96,564.00,"Debit Card"
98,660.00,"Debit Card"
99,50.00,"Debit Card"
100,396.00,"Credit Card"
101,219.00,NetBanking
102,510.00,UPI
103,536.00,UPI
104,226.00,NetBanking
105,703.00,"Debit Card"
106,92.00,"Debit Card"
107,413.00,"Credit Card"
110,219.00,UPI
111,572.00,"Credit Card"
112,805.00,NetBanking
113,316.00,"Credit Card"
114,429.00,"Credit Card"
115,870.00,NetBanking
116,396.00,NetBanking
117,210.00,NetBanking
119,705.00,UPI
121,941.00,UPI
122,118.00,"Credit Card"
123,937.00,NetBanking
124,822.00,UPI
125,370.00,"Debit Card"
126,192.00,"Credit Card"
127,501.00,NetBanking
128,541.00,NetBanking
129,539.00,"Credit Card"
131,894.00,UPI
133,73.00,"Debit Card"
134,644.00,"Debit Card"
136,588.00,"Credit Card"
137,599.00,"Debit Card"
138,501.00,"Debit Card"
139,975.00,"Debit Card"
141,572.00,"Credit Card"
142,241.00,"Credit Card"
143,247.00,"Debit Card"
144,909.00,UPI
145,458.00,UPI
146,489.00,NetBanking
147,74.00,"Debit Card"
148,547.00,NetBanking
150,1210.00,"Debit Card"
151,775.00,"Debit Card"
152,477.00,"Debit Card"
153,676.00,UPI
155,320.00,"Debit Card"
156,711.00,"Credit Card"
158,845.00,"Debit Card"
159,962.00,UPI
160,707.00,NetBanking
161,413.00,UPI
163,937.00,UPI
164,320.00,"Credit Card"
165,708.00,"Credit Card"
166,224.00,UPI
167,50.00,"Credit Card"
168,1015.00,NetBanking
170,429.00,"Debit Card"
171,564.00,NetBanking
172,1058.00,"Credit Card"
173,237.00,NetBanking
174,92.00,"Debit Card"
175,429.00,"Debit Card"
176,174.00,"Credit Card"
177,278.00,"Credit Card"
178,489.00,UPI
179,863.00,"Debit Card"
180,299.00,"Credit Card"
181,316.00,NetBanking
182,1101.00,"Credit Card"
183,370.00,"Credit Card"
184,239.00,NetBanking
186,865.00,NetBanking
187,92.00,NetBanking
188,199.00,"Debit Card"
189,763.00,"Credit Card"
190,489.00,UPI
192,845.00,NetBanking
194,853.00,"Debit Card"
195,884.00,UPI
197,870.00,"Credit Card"
198,863.00,NetBanking
199,477.00,NetBanking
200,705.00,"Debit Card"
201,118.00,"Debit Card"
202,721.00,"Debit Card"
203,155.00,"Debit Card"
205,485.00,"Debit Card"
206,418.00,"Credit Card"
207,1058.00,"Credit Card"
209,773.00,UPI
210,937.00,"Credit Card"
211,894.00,"Debit Card"
212,870.00,"Debit Card"
213,144.00,UPI
214,445.00,"Debit Card"
215,962.00,UPI
216,292.00,UPI
217,82.00,NetBanking
218,512.00,UPI
220,863.00,UPI
221,279.00,NetBanking
222,701.00,UPI
223,536.00,"Debit Card"
224,932.00,"Credit Card"
225,50.00,NetBanking
227,1210.00,"Debit Card"
228,326.00,"Debit Card"
230,309.00,"Debit Card"
231,172.00,"Credit Card"
232,278.00,"Debit Card"
233,1039.00,"Debit Card"
234,626.00,NetBanking
235,370.00,UPI
236,256.00,"Credit Card"
237,1058.00,NetBanking
239,278.00,UPI
240,256.00,"Debit Card"
242,576.00,NetBanking
243,1058.00,"Debit Card"
244,50.00,NetBanking
245,763.00,UPI
247,441.00,"Credit Card"
248,1220.00,UPI
249,330.00,UPI
250,265.00,UPI
251,1210.00,"Debit Card"
252,118.00,UPI
253,429.00,UPI
254,1058.00,NetBanking
255,314.00,NetBanking
256,50.00,"Credit Card"
257,314.00,UPI
258,760.00,UPI
259,326.00,"Credit Card"
260,937.00,UPI
261,844.00,NetBanking
262,470.00,"Credit Card"
263,489.00,"Debit Card"
265,391.00,"Debit Card"
266,446.00,NetBanking
267,510.00,"Credit Card"
270,509.00,"Debit Card"
271,50.00,UPI
272,529.00,UPI
273,698.00,NetBanking
275,304.00,"Credit Card"
277,1256.00,NetBanking
278,532.00,"Debit Card"
279,320.00,"Debit Card"
280,50.00,"Debit Card"
281,703.00,"Credit Card"
282,510.00,"Debit Card"
283,477.00,UPI
