airport_name,departing_flights
"South Patrickmouth International Airport",13
"Lake Yvettetown International Airport",9
"Meganton International Airport",7
"Port Sandra International Airport",7
"Daviston International Airport",7
"East Natalieland International Airport",6
"Sarahland International Airport",6
"Port Craig International Airport",6
"Thomasberg International Airport",6
"Curtisfurt International Airport",6
"New Jillton International Airport",6
"New Roberttown International Airport",5
"Port Lindachester International Airport",5
"Barbaraland International Airport",5
"Michaelview International Airport",5
"Lake Nicoleview International Airport",5
"Lewisberg International Airport",5
"New Mariotown International Airport",5
"Meaganhaven International Airport",5
"East Donna International Airport",5
"Lake Debra International Airport",4
"East Steven International Airport",4
"Smithview International Airport",4
"East Carloston International Airport",4
"Mitchellside International Airport",4
"Lake Stephenville International Airport",3
"Adamsborough International Airport",3
"Hurstfurt International Airport",3
"Samuelhaven International Airport",3
"Lake Deniseville International Airport",3
"East Amanda International Airport",3
"Olsonfurt International Airport",3
"South Dianeshire International Airport",3
"Johnfurt International Airport",3
"Andrewside International Airport",2
"North Susan International Airport",2
"South David International Airport",2
"North Judithbury International Airport",2
"Leeville International Airport",1
"Brandtside International Airport",0
